time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume,Volume MA,Histogram,MACD,Signal
2020-04-03T08:55:00Z,1057.931964,1061.696141,1057.634792,1059.714995,1058.989321,1058.978781,NaN,NaN,NaN,NaN,108597,182356.55,-0.27918916,0.217811997,0.497001157
2020-04-03T09:00:00Z,1059.764524,1060.903683,1057.931964,1060.606511,1059.136339,1059.385714,NaN,NaN,NaN,NaN,179228,173584.65,-0.128502474,0.336373064,0.464875538
2020-04-03T09:05:00Z,1060.606511,1060.854154,1057.931964,1058.625365,1059.089887,1059.195626,NaN,NaN,NaN,NaN,140959,177652.05,-0.179689894,0.240263171,0.419953065
2020-04-03T09:10:00Z,1058.427251,1059.91311,1055.950818,1059.764524,1059.151217,1059.337851,NaN,NaN,NaN,NaN,164431,181434.45,-0.121069835,0.268615771,0.389685606
2020-04-03T09:15:00Z,1059.91311,1061.894256,1058.179607,1060.606511,1059.283517,1059.655016,NaN,NaN,NaN,NaN,179868,186202.95,-0.019637847,0.365138297,0.384776144
2020-04-03T09:20:00Z,1060.556982,1064.865975,1058.922537,1059.962639,1059.345255,1059.731922,NaN,NaN,NaN,NaN,223933,189267.35,-0.007429031,0.375489856,0.382918887
2020-04-03T09:25:00Z,1059.962639,1064.865975,1059.91311,1064.816446,1059.842636,1061.003053,NaN,NaN,NaN,NaN,172679,191655.1,0.356279395,0.828268131,0.471988735
2020-04-03T09:30:00Z,1064.816446,1065.361262,1059.91311,1060.903683,1059.939095,1060.97821,NaN,NaN,NaN,NaN,294260,201898.15,0.266501531,0.805115649,0.538614118
2020-04-03T09:35:00Z,1060.854154,1064.865975,1060.854154,1064.717389,1060.373485,1061.913005,NaN,NaN,NaN,NaN,285579,211109.3,0.473454554,1.13043231,0.656977756
2020-04-03T09:40:00Z,1064.717389,1064.865975,1061.597084,1064.66786,1060.763883,1062.601719,NaN,NaN,NaN,NaN,386594,225330.9,0.564742845,1.362906312,0.798163468
2020-04-03T09:45:00Z,1064.865975,1068.332981,1064.469746,1067.837694,1061.406957,1063.910713,NaN,NaN,NaN,NaN,419198,220430.75,0.816638432,1.818961507,1.002323076
2020-04-03T09:50:00Z,1067.788165,1073.781132,1067.788165,1073.186788,1062.47785,1066.229732,NaN,NaN,NaN,NaN,426732,223223.2,1.313090446,2.643686133,1.330595687
2020-04-03T09:55:00Z,1073.285846,1079.575984,1073.236317,1077.743424,1063.86563,1069.108155,NaN,NaN,NaN,NaN,335285,231246.3,1.87097973,3.669320349,1.798340619
2020-04-07T03:45:00Z,1094.583165,1114.047924,1089.6303,1101.319061,1067.270487,1077.160881,NaN,NaN,NaN,NaN,1102839,271074.55,3.839994634,6.598333913,2.758339278
2020-04-07T03:50:00Z,1101.319061,1118.852204,1100.724718,1106.073812,1070.798062,1084.389114,NaN,NaN,NaN,NaN,853122,303053.5,5.167063775,9.217168997,4.050105222
2020-04-07T03:55:00Z,1105.727111,1107.856843,1093.691649,1096.861483,1073.167464,1087.507206,NaN,NaN,NaN,NaN,668975,330266.45,4.976787385,10.27108945,5.294302068
2020-04-07T04:00:00Z,1096.564311,1101.220004,1092.602019,1101.220004,1075.717695,1090.935406,NaN,NaN,NaN,NaN,389525,343366.05,4.853408655,11.36106289,6.507654232
2020-04-07T04:05:00Z,1101.220004,1109.045531,1096.019496,1108.203544,1078.670954,1095.25244,NaN,NaN,NaN,NaN,371090,348186.25,4.960641236,12.70845578,7.747814541
2020-04-07T04:10:00Z,1108.253072,1108.847416,1102.953507,1104.340309,1081.004532,1097.524407,NaN,NaN,NaN,NaN,191180,350502.2,4.388555849,13.23350935,8.844953503
